text,label,priority
Reported: minor water pipe repair needed at street corner,Water,Low
slight discoloration in drinking water Please take action,Water,Medium
electricity meter not recording consumption properly,Electricity,Medium
food poisoning outbreak in locality causing hospitalizations,Health Department,High
voltage fluctuations damaging household appliances,Electricity,Medium
broken electric meter near market area,Electricity,Medium
"Reported: light pole slightly tilted, needs straightening",Electricity,Low
frequent power tripping affecting daily operations,Electricity,Medium
garbage accumulation causing disease outbreak,Municipality,High
water supply stopped for more than 48 hours Please take action,Water,High
"garbage not collected for several days, piling up",Municipality,Medium
"light pole slightly tilted, requires straightening",Electricity,Low
health center needs routine inspection & maintenance,Health Department,Low
Reported: burning smell indicating possible fire risk in building,Fire,Medium
park bench needs repainting & repair,Municipality,Low
"mosquito breeding in stagnant water, dengue prevention needed Please take action",Health Department,Medium
concrete pavement crumbling near market,PWD,Medium
Reported: traffic sign damaged needs replacement,Police/Traffic,Low
molestation incident reported by female citizen,Police/Traffic,High
traffic violation with vehicles breaking red light,Police/Traffic,Medium
emergency electrical hazard causing immediate danger,Electricity,High
Reported: damaged transformer needs urgent maintenance and fixing,Electricity,Medium
clinic needs equipment calibration,Health Department,Low
paint fading on electrical pole,Electricity,Low
Reported: dangling wires on telephone poles creating hazard,Electricity,Medium
explosion near petrol pump causing severe damage,Fire,High
parking space marking needs clarification,Police/Traffic,Low
severe garbage accumulation causing environmental and health emergency,Municipality,High
pharmacy selling expired medicines illegally,Health Department,Medium
pest control needed for rat infestation immediately,Health Department,Medium
"Reported: garbage not collected for several days, piling up",Municipality,Medium
slight discoloration in drinking water,Water,Medium
Reported: pharmacy selling expired medicines illegally,Health Department,Medium
water tank needs paint refreshing,Water,Low
rash driving near school affecting student safety,Police/Traffic,Medium
Reported: electrical wire partially damaged needs immediate repair,Electricity,Medium
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
Reported: overflowing dustbin on street creating smell,Municipality,Medium
overflowing dustbin on street creating smell,Municipality,Medium
Reported: water tank maintenance not done for months,Water,Medium
routine water maintenance scheduled Please take action,Water,Low
Reported: pest control needed for rat infestation urgently,Health Department,Medium
Reported: vehicles parked illegally blocking emergency access,Police/Traffic,Medium
malaria cases reported in residential area Please take action,Health Department,Medium
street sign installation for park entrance,Municipality,Low
minor crack in transformer box,Electricity,Low
damaged road surface needing urgent patching and repair,PWD,Medium
